	SporangiaReplicate3	SporangiaReplicate2	SporangiaReplicate1	ZoosporeReplicate1	ZoosporeReplicate2	ZoosporeReplicate3
MSTRG.6920.3	0	0	0	0	0	0
MSTRG.6920.4	0.66462311559338	0	0	0	0	0
MSTRG.6921.1	0.66462311559338	0.890564774164979	0	1.96927379746374	0	0
rna-XM_006682578.1	0	0	0	0	0	0
MSTRG.6921.3	0.66462311559338	0.890564774164979	0.919231959456351	0	1.37462308561208	0
rna-XM_006682581.1	0	0	0	0	0	0
rna-XM_006682621.1	1.32924623118676	3.56225909665992	1.8384639189127	4.92318449365935	0	1.21423734434546
MSTRG.6923.1	0	0	0	0.98463689873187	0	0
rna-XM_006682544.1	0	0	0	0	0	0
MSTRG.6924.2	1.99386934678014	0.890564774164979	1.8384639189127	0.98463689873187	0	3.64271203303638
rna-XM_006682605.1	17.9448241210213	16.9207307091346	11.9500154729326	35.4469283543473	54.9849234244833	72.8542406607275
rna-XM_006682623.1	26.5849246237352	18.7018602574646	12.8692474323889	19.6927379746374	24.7432155410175	38.8555950190547
MSTRG.6927.1	0	0	1.8384639189127	0	1.37462308561208	0
MSTRG.6927.2	0	0	0	0	0	0
rna-XM_006682494.1	0	0	0	0	0	0
MSTRG.6928.1	0.66462311559338	1.78112954832996	0	0	0	0
rna-XM_006682666.1	0	0	0	0	1.37462308561208	0
MSTRG.6928.3	0	0	0	0	0	0
MSTRG.6929.1	0.66462311559338	0	0	2.95391069619561	0	0
rna-XM_006682495.1	0	0	0	0	0	0
MSTRG.6930.1	0.66462311559338	0	0.919231959456351	0	0	0
MSTRG.6930.2	0	0	0	0	0	0
rna-XM_006682508.1	0	0	0	0	0	0
rna-XM_006682624.1	37.2188944732293	40.0754148374241	45.9615979728176	31.5083807594198	38.4894463971383	46.1410190851274
rna-XM_006682546.1	29.9080402017021	20.4829898057945	22.9807989864088	291.452522024634	483.867326135453	652.045453913511
rna-XM_006682595.1	0	0	0	0	0	0
MSTRG.6933.2	0	0	0	0	0	0
rna-XM_006682587.1	39.2127638200094	38.2942852890941	33.0923505404286	28.5544700632242	23.3685924554054	13.3566107878
MSTRG.6935.1	0	0	0	0	0	0
MSTRG.6935.2	0	1.78112954832996	0	0	1.37462308561208	1.21423734434546
rna-XM_006682547.1	0	0	0	0	0	0
MSTRG.6935.4	0	0	0	0	0	0
rna-XM_006682625.1	15.9509547742411	17.8112954832996	17.4654072296707	16.7388272784418	13.7462308561208	10.9281360991091
