	MutantReplicate1	MutantReplicate2	MutantReplicate3	WildtypeReplicate1	WildtypeReplicate2	WildtypeReplicate3
gene-BTH_RS01450	0	0	0	0	0	0
gene-BTH_RS01455	89.8503787739228	132.289260119533	103.276552764623	58.1675310319215	78.1222980466594	69.9454106495146
gene-BTH_RS01460	278.359996985879	289.538757997468	249.28823081116	74.0314031315364	44.9795049359554	68.759895214777
gene-BTH_RS01465	358.52062902928	344.451281065953	344.551947585425	373.329790077605	424.937954526526	411.373855853925
gene-BTH_RS01470	88.0886066411008	127.297212567852	88.1411958939458	75.0889946048441	40.2448202058549	55.7192254326642
gene-BTH_RS01475	252.814301059959	263.746512313785	215.456256629645	92.0104581777667	46.1631761184806	88.9136576053151
gene-BTH_RS01480	46.6869615197834	57.4085468443255	53.4189066023914	35.9581100924605	3.55101354757543	24.8958241294882
gene-BTH_RS01485	81.0415181098127	86.5288242291283	76.5670994634277	64.5130798717674	20.1224101029274	61.6468026063518
gene-BTH_RS01490	0	0	0	0	0	0
gene-BTH_RS01495	95.1356951723888	118.977133315051	73.0058390232683	28.5549697793069	11.8367118252514	43.8640710852888
gene-BTH_RS01500	127.728479629596	132.289260119533	123.75380029554	57.1099395586138	13.0203830077766	50.977163693714
gene-BTH_RS01505	76.6370877777577	99.0089431083295	73.8961541333081	33.8429271458452	11.8367118252514	32.0089167379134
gene-BTH_RS01510	186.747846079134	214.658044722261	146.011678046537	40.1884759856912	10.6530406427263	41.4930402158137
MSTRG.212.1	257.218731392014	326.147106709791	285.791150322794	133.256525636766	121.91813180009	117.366028039016
gene-BTH_RS01520	0	0	0	0	0	0
gene-BTH_RS01525	0	0	0	0	0	0
gene-BTH_RS01530	0	0	0	0	0	0
gene-BTH_RS35505	0	0	0	0	0	0
gene-BTH_RS01540	0	0	0	0	0	0
gene-BTH_RS01545	0	0	0	0	0	0
gene-BTH_RS01515	0	0	0	0	0	0
MSTRG.214.1	463.34607093219	499.204755168048	416.667471498653	53.9371651386908	53.2652032136314	48.6061328242389
gene-BTH_RS01560	0	0	0	0	0	0
gene-BTH_RS01565	0	0	0	0	0	0
gene-BTH_RS01570	0	0	0	0	0	0
gene-BTH_RS01575	0	0	0	0	0	0
MSTRG.214.6	0	0	0	0	0	0
gene-BTH_RS01580	0	0	0	0	0	0
gene-BTH_RS01585	0	0	0	0	0	0
gene-BTH_RS01590	0	0	0	0	0	0
gene-BTH_RS01595	0	0	0	0	0	0
gene-BTH_RS01605	131.25202389524	157.249497877935	155.805144256975	114.219879117228	94.6936946020114	80.6150495621524
gene-BTH_RS01615	134.775568160884	219.650092273941	141.560102496337	68.7434457649981	76.9386268641343	61.6468026063518
gene-BTH_RS01550	0	0	0	0	0	0
gene-BTH_RS01555	0	0	0	0	0	0
gene-BTH_RS34195	0	0	0	0	0	0
gene-BTH_RS33085	0	0	0	0	0	0
gene-BTH_RS01610	0	0	0	0	0	0
gene-BTH_RS01620	31.7118983907963	23.2962219078422	18.696617310837	21.1518294661533	15.3877253728269	17.782731521063
gene-BTH_RS01625	88.9694927075118	82.3687846027279	79.2380447935473	84.607317864613	79.3059692291846	75.8729878232023
gene-BTH_RS01630	165.606580485269	221.314108124501	179.843652228051	80.3769519713824	72.2039421340337	73.5019569537272
gene-BTH_RS01635	176.177213282202	220.482100199221	204.772475309167	65.5706713450751	62.7345726738326	78.2440186926773
gene-BTH_RS01640	69.5899992464696	79.0407529016076	66.7736332529893	75.0889946048441	66.285586221408	61.6468026063518
gene-BTH_RS01645	125.966707496774	140.609339372334	130.876321175859	35.9581100924605	41.42849138838	34.3799476073885
gene-BTH_RS01650	244.005440395849	275.394623267706	218.127201959765	176.61777604238	138.489528355442	147.003913907454
gene-BTH_RS01655	63.4237967815926	68.2246498729666	76.5670994634277	38.0732930390759	26.0407660155531	33.194432172651
gene-BTH_RS01660	39.6398729884954	74.0487053499271	47.1867008321124	30.6701527259222	20.1224101029274	40.3075247810762
gene-BTH_RS01665	51.9722779182495	95.6809114072092	59.6511123726704	26.4397868326916	5.91835591262572	16.5972160863255
gene-BTH_RS01670	27.3074680587412	33.2803170112032	17.8063022007971	16.9214635729226	15.3877253728269	18.9682469558006
gene-BTH_RS01675	89.8503787739228	107.32902236113	81.9089901236668	47.5916162988448	23.6734236505029	46.2351019547639
gene-BTH_RS01680	167.368352618092	192.193830739698	146.011678046537	132.198934163458	119.550789435039	116.180512604278
gene-BTH_RS01685	31.7118983907963	15.8081505803215	16.9159870907573	17.9790550462303	9.46936946020114	9.48412347790028
gene-BTH_RS01690	79.2797459769907	88.1928400796885	81.018675013627	75.0889946048441	72.2039421340337	54.5337099979266
gene-BTH_RS01695	0	0	0	0	0	0
gene-BTH_RS01700	103.944555836499	143.937371073454	113.960334085102	56.0523480853061	43.7958337534303	66.388864345302
gene-BTH_RS01705	118.038732899075	118.977133315051	104.166867874663	70.8586287116134	31.9591219281789	58.0902563021392
gene-BTH_RS01710	362.925059361335	408.515891312519	361.467934676182	114.219879117228	50.8978608485811	88.9136576053151
gene-BTH_RS01715	207.889111672998	236.290250779543	187.85648821841	86.7225008112284	97.0610369670617	112.623966300066
gene-BTH_RS34200	0	0	0	0	0	0
gene-BTH_RS01720	184.986073946312	210.49800509586	158.476089587095	35.9581100924605	21.3060812854526	46.2351019547639
gene-BTH_RS01725	171.772782950147	191.361822814418	150.463253596736	47.5916162988448	20.1224101029274	34.3799476073885
gene-BTH_RS01730	0	0	0	0	0	0
gene-BTH_RS01735	0	0	0	0	0	0
gene-BTH_RS01745	53.7340500510715	66.5606340224064	48.0770159421523	50.7643907187678	11.8367118252514	35.5654630421261
gene-BTH_RS01750	0	0	0	0	0	0
gene-BTH_RS01755	130.371137828829	123.969180866732	98.8249772144241	39.1308845123835	20.1224101029274	52.1626791284515
rna-BTH_RS01760	204.365567407354	167.233592981296	178.953337118011	119.507836483766	152.693582545743	82.9860804316275
gene-BTH_RS01765	159.440378020392	154.753474102095	157.585774477055	123.738202376997	79.3059692291846	105.510873691641
gene-BTH_RS34205	81.0415181098127	103.16898273473	53.4189066023914	31.7277441992299	14.2040541903017	42.6785556505513
gene-BTH_RS01775	194.675820676833	212.9940288717	170.940501127653	56.0523480853061	40.2448202058549	58.0902563021392
gene-BTH_RS01780	18.4986073946312	13.3121268044813	17.8063022007971	21.1518294661533	10.6530406427263	23.7103086947507
gene-BTH_RS01785	199.080251008888	239.618282480663	176.282391787892	53.9371651386908	31.9591219281789	62.8323180410894
gene-BTH_RS01790	88.9694927075118	113.985085763371	84.5799354537864	35.9581100924605	9.46936946020114	22.5247932600132
gene-BTH_RS01795	635.999739948748	778.759418062155	588.498287736345	97.298415544305	97.0610369670617	124.479120647441
gene-BTH_RS01800	113.63430256702	182.209735636338	103.276552764623	27.4973783059992	11.8367118252514	30.8234013031759
gene-BTH_RS01805	724.088346589848	820.359814326159	659.723496539534	356.408326504682	374.040093677945	329.573290857035
gene-BTH_RS01810	283.645313384345	313.66698783059	243.056025040881	79.3193604980747	85.2243251418103	97.2122656484779
MSTRG.255.1	22.9030377266862	24.9602377584024	28.4900835212754	4.23036589323065	1.18367118252514	7.11309260842521
gene-BTH_RS01815	0	0	0	0	0	0
gene-BTH_RS34890	0	0	0	0	0	0
gene-BTH_RS29420	0	0	0	0	0	0
gene-BTH_RS29425	0	0	0	0	0	0
gene-BTH_RS01825	0	0	0	0	0	0
gene-BTH_RS33100	0	0	0	0	0	0
gene-BTH_RS34895	0	0	0	0	0	0
gene-BTH_RS01845	42.2825311877284	50.7524834420849	48.0770159421523	12.691097679692	9.46936946020114	9.48412347790028
gene-BTH_RS01850	0	0	0	0	0	0
gene-BTH_RS01855	0	0	0	0	0	0
gene-BTH_RS01860	88.9694927075118	88.1928400796885	71.2252088031886	15.8638720996149	13.0203830077766	20.1537623905381
gene-BTH_RS01865	245.767212528671	297.026829324989	213.675626409566	24.3246038860762	39.0611490233297	27.2668549989633
gene-BTH_RS01870	481.844678326821	599.045706201658	472.757323431164	226.32457528784	214.244484037051	238.288602382245
gene-BTH_RS01875	120.681391098308	128.129220493132	107.728128314823	151.235580682996	173.999663831196	137.519790429554
gene-BTH_RS34215	62.5429107151816	87.3608321544084	54.3092217124313	9.51832325976897	11.8367118252514	14.2261852168504
gene-BTH_RS29435	0	0	0	0	0	0
gene-BTH_RS01885	680.924929335709	686.406538356066	730.058390232683	930.680496510743	896.039085171533	785.996733230986
gene-BTH_RS01895	139.179998492939	149.761426550414	121.97317007546	33.8429271458452	47.3468473010057	39.1220093463387
gene-BTH_RS01905	70.4708853128806	84.8648083785682	61.4317425927501	15.8638720996149	5.91835591262572	15.411700651588
gene-BTH_RS01910	96.8974673052109	93.184887631369	78.3477296835074	59.2251225052291	68.6529285864583	72.3164415189896
gene-BTH_RS34900	85.4459484418678	66.5606340224064	56.9801670425508	44.4188418789218	52.0815320311063	39.1220093463387
gene-BTH_RS34745	688.852903933408	655.622245120703	633.014043238338	744.544397208595	919.712508822036	725.535446059371
gene-BTH_RS01925	84.5650623754568	97.3449272577694	89.9218261140255	19.0366465195379	10.6530406427263	15.411700651588
gene-BTH_RS01930	311.833667509497	287.874742146908	376.60329154686	281.319331899838	342.080971749766	297.564374119121
gene-BTH_RS01935	165.606580485269	173.057648458257	202.991845089087	119.507836483766	118.367118252514	101.954327387428
gene-BTH_RS01940	427.229742209339	442.628216249003	450.499445680168	378.617747444143	352.734012392493	333.129837161247
gene-BTH_RS01945	0	0	0	0	0	0
gene-BTH_RS01950	135.656454227295	148.929418625134	129.986006065819	27.4973783059992	30.7754507456537	18.9682469558006
gene-BTH_RS01955	380.542780689555	355.267384094594	372.15171599666	712.816653009365	600.121289540248	591.57220193403
gene-BTH_RS01965	480.96379226041	475.076525334926	550.214738004632	1135.85324233243	873.549332703556	953.154409528978
gene-BTH_RS01970	282.764427317934	289.538757997468	319.623124504309	252.764362120531	248.57094833028	261.998911076995
